Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1998-02-26,24.0,24.0,24.0,24.0
1998-02-28,24.0,24.0,24.0,24.0
1998-04-23,23.0,23.0,23.0,23.0
1998-04-30,23.0,23.0,23.0,23.0
1998-05-21,21.5,21.5,21.5,21.5
1998-05-31,21.5,21.5,21.5,21.5
1998-07-17,19.0,19.0,19.0,19.0
1998-07-31,19.0,19.0,19.0,19.0
1998-09-10,18.0,18.0,18.0,18.0
1998-09-30,18.0,18.0,18.0,18.0
1998-10-29,17.0,17.0,17.0,17.0
1998-10-31,17.0,17.0,17.0,17.0
1998-12-10,15.5,15.5,15.5,15.5
1998-12-31,15.5,15.5,15.5,15.5
1999-01-21,13.0,13.0,13.0,13.0
1999-01-31,13.0,13.0,13.0,13.0
1999-09-23,14.0,14.0,14.0,14.0
1999-09-30,14.0,14.0,14.0,14.0
1999-11-18,16.5,16.5,16.5,16.5
1999-11-30,16.5,16.5,16.5,16.5
2000-02-24,17.5,17.5,17.5,17.5
2000-02-29,17.5,17.5,17.5,17.5
2000-08-31,19.0,19.0,19.0,19.0
2001-03-01,18.0,18.0,18.0,18.0
2001-03-29,17.0,17.0,17.0,17.0
2001-03-31,18.0,18.0,17.0,17.0
2001-06-28,15.5,15.5,15.5,15.5
2001-06-30,15.5,15.5,15.5,15.5
2001-08-23,14.5,14.5,14.5,14.5
2001-08-31,14.5,14.5,14.5,14.5
2001-10-26,13.0,13.0,13.0,13.0
2001-10-31,13.0,13.0,13.0,13.0
2001-11-29,11.5,11.5,11.5,11.5
2001-11-30,11.5,11.5,11.5,11.5
2001-12-01,11.5,11.5,11.5,11.5
2001-12-31,11.5,11.5,11.5,11.5
2002-01-31,10.0,10.0,10.0,10.0
2002-04-26,9.5,9.5,9.5,9.5
2002-04-30,9.5,9.5,9.5,9.5
2002-05-30,9.0,9.0,9.0,9.0
2002-05-31,9.0,9.0,9.0,9.0
2002-06-27,8.5,8.5,8.5,8.5
2002-06-30,8.5,8.5,8.5,8.5
2002-08-29,8.0,8.0,8.0,8.0
2002-08-31,8.0,8.0,8.0,8.0
2002-09-26,7.5,7.5,7.5,7.5
2002-09-30,7.5,7.5,7.5,7.5
2002-10-24,7.0,7.0,7.0,7.0
2002-10-31,7.0,7.0,7.0,7.0
2002-11-28,6.75,6.75,6.75,6.75
2002-11-30,6.75,6.75,6.75,6.75
2003-01-30,6.5,6.5,6.5,6.5
2003-01-31,6.5,6.5,6.5,6.5
2003-02-27,6.25,6.25,6.25,6.25
2003-02-28,6.25,6.25,6.25,6.25
2003-03-27,6.0,6.0,6.0,6.0
2003-03-31,6.0,6.0,6.0,6.0
2003-04-25,5.75,5.75,5.75,5.75
2003-04-30,5.75,5.75,5.75,5.75
2003-05-29,5.5,5.5,5.5,5.5
2003-05-31,5.5,5.5,5.5,5.5
2003-06-26,5.25,5.25,5.25,5.25
2003-06-30,5.25,5.25,5.25,5.25
2004-07-01,5.75,5.75,5.75,5.75
2004-07-29,6.0,6.0,6.0,6.0
2004-07-31,5.75,6.0,5.75,6.0
2004-08-26,6.5,6.5,6.5,6.5
2004-08-31,6.5,6.5,6.5,6.5
2005-03-31,6.0,6.0,6.0,6.0
2005-04-28,5.5,5.5,5.5,5.5
2005-04-30,5.5,5.5,5.5,5.5
2005-06-30,5.0,5.0,5.0,5.0
2005-07-28,4.75,4.75,4.75,4.75
2005-07-31,4.75,4.75,4.75,4.75
2005-09-01,4.5,4.5,4.5,4.5
2005-09-30,4.5,4.5,4.5,4.5
2006-02-01,4.25,4.25,4.25,4.25
2006-02-28,4.25,4.25,4.25,4.25
2006-03-01,4.0,4.0,4.0,4.0
2006-03-31,4.0,4.0,4.0,4.0
2007-04-26,4.25,4.25,4.25,4.25
2007-04-30,4.25,4.25,4.25,4.25
2007-06-28,4.5,4.5,4.5,4.5
2007-06-30,4.5,4.5,4.5,4.5
2007-08-30,4.75,4.75,4.75,4.75
2007-08-31,4.75,4.75,4.75,4.75
2007-11-29,5.0,5.0,5.0,5.0
2007-11-30,5.0,5.0,5.0,5.0
2008-01-31,5.25,5.25,5.25,5.25
2008-02-28,5.5,5.5,5.5,5.5
2008-02-29,5.5,5.5,5.5,5.5
2008-03-27,5.75,5.75,5.75,5.75
2008-03-31,5.75,5.75,5.75,5.75
2008-06-26,6.0,6.0,6.0,6.0
2008-06-30,6.0,6.0,6.0,6.0
2008-11-27,5.75,5.75,5.75,5.75
2008-11-30,5.75,5.75,5.75,5.75
2008-12-24,5.0,5.0,5.0,5.0
2008-12-31,5.0,5.0,5.0,5.0
2009-01-28,4.25,4.25,4.25,4.25
2009-01-31,4.25,4.25,4.25,4.25
2009-02-26,4.0,4.0,4.0,4.0
2009-02-28,4.0,4.0,4.0,4.0
2009-03-26,3.75,3.75,3.75,3.75
2009-03-31,3.75,3.75,3.75,3.75
2009-06-25,3.5,3.5,3.5,3.5
2009-06-30,3.5,3.5,3.5,3.5
2010-01-01,3.5,3.5,3.5,3.5
